,CPU Usage,Memory Usage (GB),GPU Usage (GB)
512,13.6,8.2441,0.418
513,17.9,8.2063,0.418
514,13.1,8.2056,0.418
515,18.1,8.2158,0.418
516,13.1,8.2107,0.418
517,17.7,8.2402,0.418
518,14.1,8.2129,0.418
519,13.3,8.2107,0.418
520,18.3,8.225,0.418
521,13.1,8.228,0.418
522,18.4,8.2234,0.418
523,13.1,8.2366,0.418
524,16.2,8.2386,0.418
525,15.5,8.2156,0.418
526,13.1,8.2165,0.418
527,18.5,8.1589,0.418
528,13.0,8.1377,0.418
529,18.2,8.1175,0.418
530,13.1,8.1189,0.418
531,15.2,8.1202,0.418
532,16.3,8.1135,0.418
533,13.1,8.128,0.418
534,18.1,8.1313,0.418
535,13.1,8.1212,0.418
536,18.2,8.1282,0.418
537,13.2,8.1215,0.418
538,14.2,8.1414,0.418
539,17.0,8.1317,0.418
540,13.2,8.218,0.418
541,18.2,8.2245,0.418
542,13.0,8.2254,0.418
543,18.5,8.216,0.418
544,13.3,8.2106,0.418
545,13.4,8.2004,0.418
546,18.0,8.2235,0.418
547,13.0,8.2253,0.418
548,18.1,8.2138,0.418
549,13.2,8.2377,0.418
550,17.2,8.2366,0.418
551,14.1,8.2311,0.418
552,13.1,8.2314,0.418
553,18.3,8.2258,0.418
554,13.1,8.2082,0.418
555,18.3,8.2512,0.418
556,13.0,8.2373,0.418
557,16.1,8.2493,0.418
558,15.1,8.2353,0.418
559,13.1,8.2252,0.418
560,18.0,8.2121,0.418
561,13.1,8.2201,0.418
562,17.9,8.2311,0.418
563,13.0,8.2302,0.418
564,15.4,8.2291,0.418
565,15.8,8.2156,0.418
566,13.0,8.2073,0.418
567,18.4,8.2241,0.418
568,13.0,8.2029,0.418
569,18.2,8.2268,0.418
570,13.2,8.2245,0.418
571,14.7,8.2274,0.418
572,16.6,8.2247,0.418
573,13.4,8.2048,0.418
574,18.2,8.2286,0.418
575,13.1,8.2178,0.418
576,18.1,8.2318,0.418
577,13.0,8.2186,0.418
578,13.8,8.2383,0.418
579,17.7,8.2413,0.418
580,13.1,8.2184,0.418
581,18.2,8.237,0.418
582,13.0,8.2373,0.418
583,17.6,8.2333,0.418
584,13.6,8.235,0.418
585,13.2,8.2354,0.418
586,18.4,8.2404,0.418
587,13.1,8.2403,0.418
588,18.1,8.2049,0.418
589,13.0,8.2008,0.418
590,16.3,8.2273,0.418
591,14.9,8.2372,0.418
592,13.1,8.2323,0.418
593,18.2,8.2468,0.418
594,13.1,8.2236,0.418
595,18.3,8.2491,0.418
596,13.0,8.2512,0.418
597,15.3,8.2571,0.418
598,16.0,8.2242,0.418
599,13.1,8.2207,0.418
600,18.4,8.234,0.418
601,13.2,8.2214,0.418
602,18.2,8.229,0.418
603,13.0,8.2318,0.418
604,14.4,8.252,0.418
605,16.9,8.247,0.418
606,13.1,8.239,0.418
607,18.2,8.2302,0.418
608,13.0,8.2292,0.418
609,18.4,8.233,0.418
610,13.3,8.2454,0.418
611,13.2,8.2459,0.418
612,18.3,8.2349,0.418
613,13.0,8.2234,0.418
614,18.5,8.2272,0.418
615,13.1,8.2254,0.418
616,16.8,8.237,0.418
617,14.8,8.2464,0.418
618,13.1,8.2402,0.418
619,18.2,8.2164,0.418
620,13.2,8.2157,0.418
621,18.4,8.2366,0.418
622,13.2,8.2499,0.418
623,15.5,8.2577,0.418
624,15.7,8.2225,0.418
625,13.1,8.2186,0.418
626,18.6,8.2409,0.418
627,13.0,8.2236,0.418
628,18.4,8.2437,0.418
629,12.9,8.2197,0.418
630,14.3,8.2397,0.418
631,16.8,8.2345,0.418
632,13.1,8.2478,0.418
633,18.4,8.223,0.418
634,13.1,8.2398,0.418
635,18.2,8.2229,0.418
636,13.0,8.2349,0.418
637,13.3,8.2219,0.418
638,18.0,8.2387,0.418
639,13.1,8.244,0.418
640,18.3,8.2219,0.418
641,13.1,8.2141,0.418
642,17.4,8.244,0.418
643,13.8,8.2074,0.418
644,13.1,8.206,0.418
645,18.2,8.2346,0.418
646,13.3,8.2352,0.418
647,18.1,8.2314,0.418
648,13.1,8.2229,0.418
649,16.7,8.251,0.418
650,14.4,8.2097,0.418
651,13.2,8.1994,0.418
652,18.7,8.2418,0.418
653,13.0,8.2305,0.418
654,18.4,8.2201,0.418
